cdatetime;address;district;crimedescr;ucr_ncic_code;severity
01.01.2006 15:40;1751 BELL AVE;2;TOWED/STORED VEHICLE;7000;6
01.01.2006 16:00;3661 TRUXEL RD;1;484 PC   PETTY THEFT/INSIDE;2308;7
01.01.2006 16:00;3904 MAY ST;2;MISSING PERSON;7000;9
01.01.2006 16:00;1650 BAINES AVE;1;459 PC  BURGLARY RESIDENCE;2204;9
01.01.2006 16:00;6272 MACK RD;5;487(A) PC GRAND THEFT;2303;2
01.01.2006 16:00;8389 FOLSOM BLVD;3;484 PC   PETTY THEFT/INSIDE;2308;8
01.01.2006 16:25;FOLSOM BLVD / WATT AVE;3;NON INJ HR/MAIL OUT REPORT;7000;1
01.01.2006 16:30;1801 BELL AVE;2;TOWED/STORED VEHICLE;7000;10
01.01.2006 16:51;2314 Q ST;3;TRAFFIC-ACCIDENT-NON INJURY;5400;8
01.01.2006 16:57;2340 MOSSY BANK DR;1;10851(A)VC TAKE VEH W/O OWNER;2404;7
01.01.2006 16:57;8101 COSUMNES RIVER BLVD;5;11364 HS POSS DRUG PARAPH;3599;9
01.01.2006 16:59;J ST / 17TH ST;3;TRAFFIC-ACCIDENT-NON INJURY;5400;5
01.01.2006 17:00;8200 CENTER PKWY;5;10851(A)VC TAKE VEH W/O OWNER;2404;10
01.01.2006 17:00;6421 SUN RIVER DR;6;484 PETTY THEFT/LICENSE PLATE;2399;8
01.01.2006 17:00;3715 IVY ST;2;459 PC  BURGLARY RESIDENCE;2204;3
01.01.2006 17:00;3157 BRIDGEFORD DR;1;LOST PROPERTY - I RPT;7000;3
01.01.2006 17:30;11TH ST / F ST;3;197 JUSTIFIABLE HOMI-CIVILIAN;999;6
01.01.2006 17:37;17TH ST / Q ST;3;TRAFFIC-ACCIDENT-NON INJURY;5400;8
01.01.2006 17:41;FRUITRIDGE RD / 53RD ST;6;20001(A) VC HIT/RUN INJ/DEATH;5401;9
01.01.2006 17:41;5301 FRUITRIDGE RD;6;23153(A) VC DUI CAUSE INJURY;5404;5
01.01.2006 18:00;2890 GROVE AVE;2;245(A)(1)AWDW/NO FIREARM/CIVIL;1315;7
01.01.2006 18:00;2828 CONNIE DR;2;MISSING PERSON;7000;5
01.01.2006 18:00;3700 32ND ST;6;594(B)(1)PC  VANDALISM +$400;2999;6
01.01.2006 18:00;1632 BROADWAY;4;594(B)(2)(A) VANDALISM/ -$400;2999;10
01.01.2006 18:10;1729 DIGGS PARK DR;2;TRAFFIC-ACCIDENT-NON INJURY;5400;9
01.01.2006 18:19;5301 FRUITRIDGE RD;6;TOWED/STORED VEHICLE;7000;3
01.01.2006 18:23;2700 DEL PASO RD;1;484 PETTY THEFT-SHOPLIFT;2303;7
01.01.2006 18:55;7290 FRANKLIN BLVD;5;211 PC  ROBBERY UNSPECIFIED;1299;5
01.01.2006 18:55;700 N 5TH ST;3;1551(A) FUGITIVE FROM JUSTICE;4902;2
01.01.2006 19:00;321 ELEANOR AVE;2;MISSING PERSON;7000;10
01.01.2006 19:00;321 ELEANOR AVE;2;MISSING PERSON;7000;4
01.01.2006 19:00;7659 MASTERS ST;5;10851(A)VC TAKE VEH W/O OWNER;2404;5
01.01.2006 19:00;3644 DAYTON ST;2;459 PC  BURGLARY VEHICLE;2299;7
01.01.2006 19:00;2800 BROADWAY;4;484 PC   PETTY THEFT/INSIDE;2308;10
01.01.2006 19:11;1418 E ST;3;MISCELLANEOUS I RPT (ZMISC);7000;10
01.01.2006 19:40;3514 37TH ST;6;459 PC  BURGLARY VEHICLE;2299;9
01.01.2006 19:59;227 JIBBOOM ST;3;484 PC   PETTY THEFT/INSIDE;2308;6
02.01.2006 00:00;4911 8TH AVE;6;POSS STOLEN VEHICLE- I RPT;7000;6
02.01.2006 00:00;3845 SEA FOREST WAY;5;487(A) GRAND THEFT-AUTO PARTS;2304;10
02.01.2006 00:00;2481 KRAMERIA AVE;1;459 PC  BURGLARY RESIDENCE;2204;6
02.01.2006 00:00;6550 PARK RIVIERA WAY;4;594(B)(1)PC  VANDALISM +$400;2999;6
02.01.2006 00:01;2531 S ST;3;594(B)(2)(A) VANDALISM/ -$400;2999;2
02.01.2006 00:01;6730 4TH AVE;6;484 PC  PETTY THEFT AUTO PART;2304;9
02.01.2006 00:01;200 BICENTENNIAL CIR;3;594(B)(2)(A) VANDALISM/ -$400;2999;4
02.01.2006 00:01;2311 RIVER PLAZA DR;1;459 PC  BURGLARY VEHICLE;2299;7
02.01.2006 00:01;3251 SAN JOSE WAY;6;484 PC  PETTY THEFT/ OUTSIDE;2309;2
02.01.2006 00:02;12TH AVE / LISSETTA AVE;6;529 PC FALSE PERSONATION;2604;5
02.01.2006 00:05;3345 MABEL ST;2;11364 HS POSS DRUG PARAPH;3599;3
02.01.2006 00:30;1549 JANRICK AVE;5;459 PC  BURGLARY RESIDENCE;2204;4
02.01.2006 00:31;4108 WEYMOUTH LN;5;VANDALISM - I RPT;7000;9
02.01.2006 01:00;621 CLAIRE AVE;2;459 PC  BURGLARY RESIDENCE;2204;3
02.01.2006 01:30;930 43RD AVE;4;487(A) GRAND THEFT-AUTO PARTS;2304;10
02.01.2006 01:38;SAN JUAN RD / BANDON WAY;1;496(A) RECEIVE STOLEN PROPERTY;2803;1
02.01.2006 01:41;24TH ST / TEEKAY WAY;5;11357(B)HS POSS -28/5GR MARIJ;3562;1
02.01.2006 01:56;BRUCEVILLE RD / CALVINE RD;5;TRAFFIC-ACCIDENT-NON INJURY;5400;1
02.01.2006 02:00;2912 CAMARILLO DR;1;FOUND PROPERTY - I RPT;7000;1
02.01.2006 02:00;8461 TAMBOR WAY;5;594(B)(1)PC  VANDALISM +$400;2999;10
02.01.2006 02:19;6421 RIVERSIDE BLVD;4;459 PC  BURGLARY BUSINESS;2203;3
02.01.2006 03:00;7553 GREENHAVEN DR;4;459 PC  BURGLARY VEHICLE;2299;2
02.01.2006 05:00;35TH ST / BROADWAY;6;NON INJ HR/MAIL OUT REPORT;7000;3
02.01.2006 06:12;15TH ST / C ST;3;TOWED/STORED VEHICLE;7000;6
02.01.2006 06:24;1595 SILICA AVE;2;TOWED/STORED VEHICLE;7000;5
02.01.2006 06:25;ELIZA ST / LOUISE ST;3;243(E)1 BATTERY NONCOHAB SPOUS;1315;1
02.01.2006 06:30;1240 ALDER TREE WAY;4;10851(A)VC TAKE VEH W/O OWNER;2404;8
02.01.2006 06:30;3205 42ND ST;6;459 PC  BURGLARY VEHICLE;2299;6
02.01.2006 06:48;1515 NORTH AVE;2;11364 HS POSS DRUG PARAPH;3599;2
02.01.2006 06:50;2801 L ST;3;484 PETTY THEFT/LICENSE PLATE;2399;7
